cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2021,76,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,2022,48,Víctimas
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,0,Accidentes
2,Canelas,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,0,Accidentes
3,Coneto de Comonfort,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,0,Accidentes
3,Coneto de Comonfort,6200009439,Víctimas heridas en los accidentes de tránsito,2020,0,Víctimas
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,18,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,22,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,7,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,7,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,11,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,20,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,23,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,25,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,27,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,21,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,38,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,42,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,27,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,28,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,48,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,55,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,58,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,93,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,100,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,83,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,70,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,86,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,98,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,80,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,89,Accidentes
4,Cuencamé,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,117,Accidentes
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,1997,0,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,1998,3,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,1999,0,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2000,0,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2001,2,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2002,5,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2003,5,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2004,3,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2005,9,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2006,5,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2007,3,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2008,0,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2009,0,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2010,1,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2011,5,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2012,2,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2013,1,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2014,1,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2015,6,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2016,3,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2017,3,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2018,4,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2019,2,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2020,2,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2021,15,Víctimas
4,Cuencamé,6200009438,Víctimas muertas en los accidentes de tránsito,2022,8,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,1997,2,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,1998,8,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,1999,8,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2000,5,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2001,4,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2002,18,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2003,43,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2004,10,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2005,25,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2006,11,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2007,28,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2008,7,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2009,13,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2010,12,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2011,15,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2012,7,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2013,14,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2014,17,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2015,17,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2016,25,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2017,6,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2018,8,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2019,13,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2020,6,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2021,47,Víctimas
4,Cuencamé,6200009439,Víctimas heridas en los accidentes de tránsito,2022,47,Víctimas
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,4418,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,3588,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,3260,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,3474,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,3836,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,3952,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,4198,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,4037,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,4467,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,4655,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,4723,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,4611,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,4303,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,3405,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,3409,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,2902,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,2540,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,2378,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,2228,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,2594,Accidentes
5,Durango,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,2444,Accidentes
